Name,Question ID,Difficulty,Question Tags,Company Tags,Question URL,Total Submissions,Total Accepted
Number of Students Unable to Eat Lunch,1700,Easy,"Array, Queue, Simulation, Stack",Flipkart,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch,343088,269056
Average Waiting Time,1701,Medium,"Array, Simulation",Salesforce,https://leetcode.com/problems/average-waiting-time,274013,200212
Maximum Binary String After Change,1702,Medium,"Greedy, String","Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Uber, Walmart Global Tech",https://leetcode.com/problems/maximum-binary-string-after-change,30083,14116
Minimum Adjacent Swaps for K Consecutive Ones,1703,Hard,"Array, Greedy, Prefix Sum, Sliding Window","Flipkart, Google, Microsoft",https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,27627,11714
Determine if String Halves Are Alike,1704,Easy,"Counting, String",Amazon,https://leetcode.com/problems/determine-if-string-halves-are-alike,466622,367068
Maximum Number of Eaten Apples,1705,Medium,"Array, Greedy, Heap (Priority Queue)","Microsoft, Uber",https://leetcode.com/problems/maximum-number-of-eaten-apples,61879,24609
Where Will the Ball Fall,1706,Medium,"Array, Matrix, Simulation","Amazon, Google",https://leetcode.com/problems/where-will-the-ball-fall,198388,142706
Maximum XOR With an Element From Array,1707,Hard,"Array, Bit Manipulation, Trie",Google,https://leetcode.com/problems/maximum-xor-with-an-element-from-array,53886,28224
Largest Subarray Length K,1708,Easy,"Array, Greedy",Google,https://leetcode.com/problems/largest-subarray-length-k,14091,9079
Maximum Units on a Truck,1710,Easy,"Array, Greedy, Sorting","Amazon, JPMorgan, Linkedin",https://leetcode.com/problems/maximum-units-on-a-truck,434411,320912
Count Good Meals,1711,Medium,"Array, Hash Table","Adobe, Amazon",https://leetcode.com/problems/count-good-meals,136620,42079
Ways to Split Array Into Three Subarrays,1712,Medium,"Array, Binary Search, Prefix Sum, Two Pointers",Microsoft,https://leetcode.com/problems/ways-to-split-array-into-three-subarrays,103781,34383
Minimum Operations to Make a Subsequence,1713,Hard,"Array, Binary Search, Greedy, Hash Table",Google,https://leetcode.com/problems/minimum-operations-to-make-a-subsequence,27163,12979
Sum Of Special Evenly-Spaced Elements In Array,1714,Hard,"Array, Dynamic Programming","MakeMyTrip, Sprinklr",https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array,2905,1445
Calculate Money in Leetcode Bank,1716,Easy,Math,"Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Uber, Walmart Global Tech",https://leetcode.com/problems/calculate-money-in-leetcode-bank,211176,165609
Maximum Score From Removing Substrings,1717,Medium,"Greedy, Stack, String",Google,https://leetcode.com/problems/maximum-score-from-removing-substrings,217719,137077
